id,numbers
宝山奶茶公主,66
程凌安女士的阅览室_FLAG,43
rz,42
梦魇敌酋,33
愁莫渡江,33
mdylm flag,33
Nxname,27
胡上海,26
hooxi来点作用啊,23
热烈的夏季,20
百利甜配美式加冰,20
福禄双霸天1:1flag,19
1：1flag～,19
冰淇琳好甜,17
发v有点v就过分,17
zzzzz,17
oxygen_lulu,16
屁屁,16
喵九,16
名字起太怪也不好,16
陈小陈,14
你的快乐小李,13
赵粤的小金库,13
东流流流流流流流,12
1pril,12
kusuri,12
finfin,12
djwcb,11
第010条鲨鱼,10
yylzsj,10
没事睡觉中,10
Shadow1nd,10
浅澜,10
Allegro,10
大园桃子_official,10
AIR卡布奇诺,10
周刊少女沐霂酱,10
来点琳能量,10
FESDJFDSF,10
天赏,10
同霖,10
春雪丶,10
魔迹,10
暴躁因子,7
克苏鲁小琳浑身双马尾,6
菈妮从小就很可爱,6
SKT-Feiju（琳羊应援会版）,6
安静爱cl,5
漏电五郎,5
芝士灯,5
劳动最光荣,5
永远喜欢奶油熊子烧酒喵,5
dingcross,5
吃冰冰的若酱,5
最爱cl,5
木木枭,3
程先生,3
逆熵_,3
Barca,3
卡娜琳鲨豆,3
111,2
抹一缕月光,2
陈琳是我爹谢天依是我妈,2
艾罗补脑汁,2
syq,2
可爱小又吃火锅,2
yelaotou1,2
顾伯约,2
金色回收网,2
Aluan,2
鸡蛋,2
小明的巾领红,2
静静,2
陈琳pk冲冲冲,2
祈妄,2
李文涛,2
消失在人海尽头,2
戴眼镜的高尔夫球儿（hmtbs）,2
小菜狗,2
鱼琳要健康要快乐要幸运,2
不见王影,2
谢谢你，泰罗,2
盒纤,2
REEEX,2
依然002号机,2
解释春风无限恨,2
李星羽,2
幽悠,2
杨森,2
可以，这很也中,1
Speranza,1
stan,1
Disguiser.,1
Basiliscus,1
陈琳的好大儿,1
裴辅-苏青苔,1
xxg,1
dingcross的二号机,1
